IATA,ICAO,Name
YQ,LCT,TAR
DM,DWI,Arajet
GB,ABX,ABX Air
CX,CPA,Cathay Pacific
PQ,PPQ,Personas Y Paquetes Por Air
RE,RER,Aeroregional
5D,SLI,Aeromexico Connect
FX,FDX,FEDEX
VB,VIV,Viva
V0,VCV,Conviasa
CA,CCA,Air China
LZ,DVY,Legend Airways LLC
ZV,RDF,Aerus
CI,CAL,China Airlines
OK,CSA,Czech Airlines
JU,JUS,USA Jet Airlines
YA,BYA,Berry Aviation
GA,GIA,Garuda Indonesia
A8,AMF,Ameriflight
U7,UCG,Uniworld Air Cargo
Y8,YZR,Suparna Airlines
LX,SWR,Swiss International Air Lines
MI,MTI,Taxi Aéreo Monterrey, SA DE CV"
TE,IGA,Sky Taxi
NZ,ANZ,Air New Zealand
2D,EAL,Eastern Airlines
AU,CJL,Canada Jetlines
G3,CJX,City Connexion Airlines
GH,GTR,Galistair Trading Limited
1A,,FBONLU
LY,ELY,El Al Israel Airlines
6R,TNO,Aerotransporte de Carga Unión
Q6,VOC,Volaris CostaRica
TP,TAP,TAP Portugal
N3,VOS,Volaris ElSalvador
MD,MDS,McNeely Charter Services
OS,AUA,Austrian Airlines
EU,EUS,Eurus Aviation 
QF,QFA,Qantas Airways 
,FRG,"Freight Runners Express, Inc"
VS,VIR,Virgin Atlantic
AR,ARG,Aerolíneas Argentinas
G2,TJJ,GullivAir
KE,KAL,Korean Air
YO,YOO,TAR AEROLINEAS.
6N,KRE,AEROSUCRE S.A
SU,AFL,Aeroflot Russian Airlines
VZ,QCL,Air Class Líneas Aéreas
WT,SWT,SWIFT AIR LLC
E9,EVE,Iberojet
WH,NWH,La Nueva Aerolínea
W2,WLF,World to Fly
AY,FIN,Finnair
UJ,GMT,MAGNICHARTERS
UC,LCO,Lan Cargo S.A.
SK,SAS,Scandinavian Airlines
SM,VTM,TSM Airline
JL,JAL,Japan Airlines
AD,AZU,Linea Aerea Azul
UX,AEA,Air Europa
N8,NCR,National Airlines Cargo
SY,SCX,Sun Country Airlines
G6,GXA,Global Crossing
W8,CJT,Cargojet Airways
Y4,VOI,Volaris
VH,ALV,Aeropostal Alas de Venezuela
VW,TAO,Aeromar
TN,THT,Air Tahiti Nui
UA,UAL,United Airlines
IF,IFL,IFL Group
5V,VTS,Everts Air 
BA,BAW,British Airways
FP,PVV,Fly Pro
TK,THY,Turkish Airlines
CM,CMP,Copa Airlines
PU,PUE,Plus Ultra
AM,AMX,Aeromexico
KD,WGN,Western Global Airlines
AV,AVA,Avianca
XL,LNE,LATAM Ecuador
,NSP,Samaritan&#39;s Purse 7
QR,QTR,Qatar Airways
E7,ESF,Estafeta
L3,JOS,DHL Guatemala
ZT,AWC,Titan Airways
NH,ANA,All Nippon Airways
M3,LTG,ABSA
WS,WJA,WestJet
CV,CLX,Cargolux
GN,GAA,General aviation
AF,AFR,Air France
XN,MXA,Mexicana
M6,AJT,Amerijet International
7L,AZQ,Silk Way West Airlines
M7,MAA,MasAir
GG,KYE,Sky Lease Cargo
AA,AAL,American Airlines
A7,WIN,Awesome Cargo
AC,ACA,Air Canada
XR,CXI,CORENDON AIRLINES EUROPE
K9,KFS,"KALITTA CHARTERS II, LLC."
5X,UPS,United Parcel Service
5Y,GTI,Atlas Air
LH,DLH,Lufthansa
KL,KLM,KLM Airways
LA,LAN,LATAM Chile
IB,IBE,Iberia Airlines
SV,SVA,Saudi Arabian Airlines Cargo
K4,CKS,Kalitta Air
L7,LAE,LATAM Cargo Colombia
L2,LYC,Lynden Air Cargo
,UKL,Ukraine Air Alliance
G4,AAY,Allegiant Air LLC
ET,ETH,Ethiopian Airlines
FV,PLK,Pulkovo Aviation Enterprise
5R,URC,Rutaca Airlines
DL,DAL,Delta Air Lines
OY,OAE,Omni Air International
EK,UAE,Emirates Airlines
CZ,CSN,China Southerrn
